No.	中文	English	semantic_id	status	source	actual_content_id	access	localization_key
1	水	Water	water	REUSE	Mindustry vanilla	water	Liquids.water	(vanilla bundle)
2	蒸馏水	Distilled Water	distilled_water	REUSE	existing GtLiquids	gt-distilled-water	GtLiquids.distilledWater	liquid.mindustry_newhorizon-gt-distilled-water
3	过滤澄清水（一级净化水）	Filtered Clear Water (Primary Purified Water)	filtered-clear-water	NEW	new ModLiquids	filtered-clear-water	"ModLiquids.get(""filtered-clear-water"")"	liquid.mindustry_newhorizon-filtered-clear-water
4	臭氧处理水（二级净化水）	Ozone-Treated Water (Secondary Purified Water)	ozone-treated-water	NEW	new ModLiquids	ozone-treated-water	"ModLiquids.get(""ozone-treated-water"")"	liquid.mindustry_newhorizon-ozone-treated-water
5	絮凝沉降水（三级净化水）	Flocculated Settled Water (Tertiary Purified Water)	flocculated-settled-water	NEW	new ModLiquids	flocculated-settled-water	"ModLiquids.get(""flocculated-settled-water"")"	liquid.mindustry_newhorizon-flocculated-settled-water
6	酸碱中和水（四级净化水）	Acid-Base Neutralized Water (Quaternary Purified Water)	acid-base-neutralized-water	NEW	new ModLiquids	acid-base-neutralized-water	"ModLiquids.get(""acid-base-neutralized-water"")"	liquid.mindustry_newhorizon-acid-base-neutralized-water
7	极温净化水（五级净化水）	Extreme-Temperature Purified Water (Quinary Purified Water)	extreme-temperature-purified-water	NEW	new ModLiquids	extreme-temperature-purified-water	"ModLiquids.get(""extreme-temperature-purified-water"")"	liquid.mindustry_newhorizon-extreme-temperature-purified-water
8	紫外辐照水（六级净化水）	UV-Irradiated Water (Senary Purified Water)	uv-irradiated-water	NEW	new ModLiquids	uv-irradiated-water	"ModLiquids.get(""uv-irradiated-water"")"	liquid.mindustry_newhorizon-uv-irradiated-water
9	去杂脱气水（七级净化水）	Deionized Degassed Water (Septenary Purified Water)	deionized-degassed-water	NEW	new ModLiquids	deionized-degassed-water	"ModLiquids.get(""deionized-degassed-water"")"	liquid.mindustry_newhorizon-deionized-degassed-water
10	理想微粒水（八级净化水）	Ideal Particulate Water (Octonary Purified Water)	ideal-particulate-water	NEW	new ModLiquids	ideal-particulate-water	"ModLiquids.get(""ideal-particulate-water"")"	liquid.mindustry_newhorizon-ideal-particulate-water
11	冰	Ice	ice	NEW	new ModLiquids	ice	"ModLiquids.get(""ice"")"	liquid.mindustry_newhorizon-ice
12	蒸汽	Steam	steam	REUSE	existing ModLiquids	steam	steam	liquid.mindustry_newhorizon-steam
13	过热蒸汽	Superheated Steam	superheated-steam	NEW	new ModLiquids	superheated-steam	"ModLiquids.get(""superheated-steam"")"	liquid.mindustry_newhorizon-superheated-steam
14	超临界致密蒸汽	Supercritical Dense Steam	supercritical-dense-steam	NEW	new ModLiquids	supercritical-dense-steam	"ModLiquids.get(""supercritical-dense-steam"")"	liquid.mindustry_newhorizon-supercritical-dense-steam
15	臭氧	Ozone	ozone	REUSE	Mindustry vanilla	ozone	Liquids.ozone	(vanilla bundle)
16	过氧化氢	Hydrogen Peroxide	hydrogen-peroxide	NEW	new ModLiquids	hydrogen-peroxide	"ModLiquids.get(""hydrogen-peroxide"")"	liquid.mindustry_newhorizon-hydrogen-peroxide
17	一氧化碳	Carbon Monoxide	carbon-monoxide	NEW	new ModLiquids	carbon-monoxide	"ModLiquids.get(""carbon-monoxide"")"	liquid.mindustry_newhorizon-carbon-monoxide
18	二氧化碳	Carbon Dioxide	carbon-dioxide	NEW	new ModLiquids	carbon-dioxide	"ModLiquids.get(""carbon-dioxide"")"	liquid.mindustry_newhorizon-carbon-dioxide
19	二氧化硫	Sulfur Dioxide	sulfur-dioxide	NEW	new ModLiquids	sulfur-dioxide	"ModLiquids.get(""sulfur-dioxide"")"	liquid.mindustry_newhorizon-sulfur-dioxide
20	三氧化硫	Sulfur Trioxide	sulfur-trioxide	NEW	new ModLiquids	sulfur-trioxide	"ModLiquids.get(""sulfur-trioxide"")"	liquid.mindustry_newhorizon-sulfur-trioxide
21	氨	Ammonia	ammonia	NEW	new ModLiquids	ammonia	"ModLiquids.get(""ammonia"")"	liquid.mindustry_newhorizon-ammonia
22	一氧化氮	Nitric Oxide	nitric-oxide	NEW	new ModLiquids	nitric-oxide	"ModLiquids.get(""nitric-oxide"")"	liquid.mindustry_newhorizon-nitric-oxide
23	一氧化二氮	Nitrous Oxide	nitrous-oxide	NEW	new ModLiquids	nitrous-oxide	"ModLiquids.get(""nitrous-oxide"")"	liquid.mindustry_newhorizon-nitrous-oxide
24	二氧化氮	Nitrogen Dioxide	nitrogen-dioxide	NEW	new ModLiquids	nitrogen-dioxide	"ModLiquids.get(""nitrogen-dioxide"")"	liquid.mindustry_newhorizon-nitrogen-dioxide
25	四氧化二氮	Dinitrogen Tetroxide	dinitrogen-tetroxide	NEW	new ModLiquids	dinitrogen-tetroxide	"ModLiquids.get(""dinitrogen-tetroxide"")"	liquid.mindustry_newhorizon-dinitrogen-tetroxide
26	肼	Hydrazine	hydrazine	NEW	new ModLiquids	hydrazine	"ModLiquids.get(""hydrazine"")"	liquid.mindustry_newhorizon-hydrazine
27	硅烷	Silane	silane	NEW	new ModLiquids	silane	"ModLiquids.get(""silane"")"	liquid.mindustry_newhorizon-silane
